,ASR Transcript (Taken From Actual TCS Task),use pretrained xlmr for reranking,Claim 1 Relevance,Claim 2 Relevance,Claim 3 relevance,Score,continue_pretrained_result
0,they i don't think yeah i don't think that the democrats are winning honestly i really don't think that they they know they're not winning they know that biden has no chance against trump they know that for a fact the only way that the democrats could even possibly beat trump is if they cheated another election trump they know that for a fact the only way that the democrats could even possibly be trump is if they cheated another election but the thing is is if they cheat another election it's going to cause a civil war and i've talked to so many people on both besides democrat republican independent america is tired okay and i really genuinely believe that they chea,"'claim: ""Video claims that the Democrats admitted that the election was '
  'rigged. "", notes: ""Known claim about the rigged elections. \\nModerator\'s '
  'opinion: Election Misinformation.""',
  'claim: , notes: This is opinions about Biden and Trump.',
  'claim: ""Democrats are \\""the real dividers.\\"""", notes: ""There is no clear '
  'fact-checkable claim in this video. What the video says is too vague.""'",1.0,0.5,0.5,Highly Relevant,"['claim: ""Video claims that the Democrats admitted that the election was rigged. "", notes: ""Known claim about the rigged elections. \\nModerator\'s opinion: Election Misinformation.""', 'claim: , notes: This is opinions about Biden and Trump.', 'claim: ""Democrats are \\""the real dividers.\\"""", notes: ""There is no clear fact-checkable claim in this video. What the video says is too vague.""']"
1,i think either way it goes do y'all think it really matters who we vote for to be honest cause looking at what's going on i remember catching on the news a few months ago that they were limiting the the power of black vote so everybody you're black and you vote anyways they've been having secret meetings and signing off on things limiting the power of our votes and i got exposed for it but nothing has changed they just got exposed for it meaning that they did it is done and over with nobody has changed,"'claim: , notes: This is an opinion of an individual against black '
  'immigrants.',
  'claim: , notes:  Black people did pick cotton for white people and that is '
  'how slavery began.  However, nigga is being used as a racically deregatory '
  ""term in this video, and Black people are not anyone's slaves.  I believe ""
  'this video is misinformation.',
  'claim: ""Black people are going missing because their organs are being '
  'trafficked."", notes: ""Hundreds of thousands of people, many of them Black, '
  'go missing each year. The moderator could not find any credible sources '
  'linking all, or a significant amount, of these missing person cases to '
  'organ trafficking.""'",0.5,0.0,0.0,Somewhat Relevant ,"['claim: , notes: This is an opinion of an individual against black immigrants.', ""claim: , notes:  Black people did pick cotton for white people and that is how slavery began.  However, nigga is being used as a racically deregatory term in this video, and Black people are not anyone's slaves.  I believe this video is misinformation."", 'claim: ""Black people are going missing because their organs are being trafficked."", notes: ""Hundreds of thousands of people, many of them Black, go missing each year. The moderator could not find any credible sources linking all, or a significant amount, of these missing person cases to organ trafficking.""']"
2,realize that just like how some of us knew that the you know covid vaccine was a false narrative to you know colonize people's minds to think that they need medical and attention because of the things,"'claim: , notes: This is misinformation because it is trying to spread '
  'misinformation about how the vaccine works, and discouraging people from '
  'getting the vaccine by twisting the narrative. ',
  'claim: , notes: Vaccine does not transmit to other people: \n'
  'It is also misinformation that Covid vaccines are like prion disease: ',
  'claim: , notes: Likely false. There is not enough information that this '
  'remedy will be helpful with the listed symptoms/diseases, some of them '
  'require medical attention  '",1.0,0.5,0.5,Highly Relevant,"['claim: , notes: This is misinformation because it is trying to spread misinformation about how the vaccine works, and discouraging people from getting the vaccine by twisting the narrative. ', 'claim: , notes: Vaccine does not transmit to other people: \nIt is also misinformation that Covid vaccines are like prion disease: ', 'claim: , notes: Likely false. There is not enough information that this remedy will be helpful with the listed symptoms/diseases, some of them require medical attention  ']"
3,"
start this vaccine when they don't know what's in the vaccine you know people that was taken the vaccine they didn't even know how long they would you know live people was panicking you know and doing the report of the past psychologist a lot of people
found with blood clots and in vain you know why would they give us something when they don't know what's in it and why would it have anthony falcon on 60 minutes and why did anthony falcons you know step down and why people like your former president trump couldn't even have a solution when people was you know there was over four hundred
thousand people hospitalized ","""claim: , notes: claim: we don't know what's in the vaccine. the fda ""
  'approval is fake. vaccines may kill you and your family. dr jane young says '
  'vaccines have graphene oxide, metals and parasites. dr robert young has '
  'examined vaccines,  judgment: misinformation. vaccines are proven to be '
  'safe and effective. the ingredients of each vaccine have been published and '
  ""can be verified. vaccines don't have graphene oxide.    \n""
  ' ',
  'claim: , notes: This video is misinformation since we do not actually know '
  'that what is being shown in this video is caused to people by vaccines. We '
  ""cannot verify the veracity of each person's condition here, and since we ""
  'cannot do that, this is misinformation because it creates vaccine '
  'hesitancy.  ',
  'claim: , notes: Claim: We don’t know what is in the vaccines. False, '
  'vaccine ingredients are publicly available. \n'
  ' \n'
  ' \n'",1.0,1.0,1.0,Highly Relevant,"[""claim: , notes: claim: we don't know what's in the vaccine. the fda approval is fake. vaccines may kill you and your family. dr jane young says vaccines have graphene oxide, metals and parasites. dr robert young has examined vaccines,  judgment: misinformation. vaccines are proven to be safe and effective. the ingredients of each vaccine have been published and can be verified. vaccines don't have graphene oxide.    \n "", ""claim: , notes: This video is misinformation since we do not actually know that what is being shown in this video is caused to people by vaccines. We cannot verify the veracity of each person's condition here, and since we cannot do that, this is misinformation because it creates vaccine hesitancy.  "", 'claim: , notes: Claim: We don’t know what is in the vaccines. False, vaccine ingredients are publicly available. \n \n \n']"
4,"
most major events are actually conspiracies yes they are yes they are and it's been happening since kane these conspiracies they've been happening since kane
the story of caden abel you know what at what point paid actors yeah there's plenty of those
there's plenty of paid actors john crisis actors they're real um they're all false flags they're all false flags everything you can think of
where something tries to shift and change the narrative is a false flag so many shootings have taken place pretty much under that
reason for being that false flag there's so many false flags there's so much shit that goes on in this country you're right you're right sis i would i agree with you blood money you know i mean it's like why do you even pay taxes anymore folks to be honest with you why do you even pay taxes anymore your taxes are going straight into child pedophile rings your your freaking politicians are pedophiles i don't even know if i can say","'claim: ""Golden Billion and New world order conspiracies are real. "", notes: '
  '""No, they are not real. They are conspiracy theories that have been '
  'debunked. ""',
  'claim: ""The ones who talk to people on mainstream media are all actors '
  'narrating scripts given to them. "", notes: ""This is a conspiracy theory '
  'that lacks proper evidence for the claim. ""',
  'claim: , notes: false flag conspiracy theory'",0.5,1.0,1.0,Highly Relevant,"['claim: ""Golden Billion and New world order conspiracies are real. "", notes: ""No, they are not real. They are conspiracy theories that have been debunked. ""', 'claim: ""The ones who talk to people on mainstream media are all actors narrating scripts given to them. "", notes: ""This is a conspiracy theory that lacks proper evidence for the claim. ""', 'claim: , notes: false flag conspiracy theory']"
5,he go to washington dc that i'm trying not to get upset but washington dc has been closed for three years and biden was taken out by the military for treason and trafficking and they all are so biden biden won't make it to the election he'll be gone soon he'll probably get the 25,"'claim: , notes: DESCRIPTION: the claim is that biden is leaving for '
  'vacation despite ‘multiple crisis escalating’. It appears that biden’s '
  'vacation schedule has been shifting quite a lot in the past weeks. As Biden '
  'is returning to the senate on Sunday, he’ll only be spending four days away '
  'from Washington, and he’ll be connected to his duties electronically, it’s '
  'a bit misleading to say that he’s abandoning his post.  In total, Biden had '
  'aimed to take two weeks away from Washington. But thanks to the Senate, '
  'Biden now will not make his return to Wilmington until later this week and '
  'then spend the weekend at Camp David, according to officials.\n'
  'The president had hoped to begin his two-week summer vacation this week '
  'but, at the same time, wanted to be in Washington to tout the Senate’s '
  'passage of his bipartisan infrastructure bill, a foundational piece of '
  'Biden’s agenda. As negotiations dragged on last week, Biden decamped for '
  'his Wilmington, Delaware, home for the weekend, with officials planning a '
  'Sunday night return to mark the bill’s passage. Though some Republicans '
  'will surely grouse about Biden taking a vacation during a surge in virus '
  'cases, the modern president is never completely free from work, tethered by '
  'secure telephone lines and other technology with a coterie of top aides and '
  'advisers always close by. misinformation ',
  'claim: , notes: Joe Biden is a criminal who stole the election',
  'claim: , notes: The claim is that Biden is destroying the military.  This '
  'is an opinion that cannot be fact checked. Ruling: N/a\n'",0.5,0.0,0.0,Somewhat Relevant ,"['claim: , notes: DESCRIPTION: the claim is that biden is leaving for vacation despite ‘multiple crisis escalating’. It appears that biden’s vacation schedule has been shifting quite a lot in the past weeks. As Biden is returning to the senate on Sunday, he’ll only be spending four days away from Washington, and he’ll be connected to his duties electronically, it’s a bit misleading to say that he’s abandoning his post.  In total, Biden had aimed to take two weeks away from Washington. But thanks to the Senate, Biden now will not make his return to Wilmington until later this week and then spend the weekend at Camp David, according to officials.\nThe president had hoped to begin his two-week summer vacation this week but, at the same time, wanted to be in Washington to tout the Senate’s passage of his bipartisan infrastructure bill, a foundational piece of Biden’s agenda. As negotiations dragged on last week, Biden decamped for his Wilmington, Delaware, home for the weekend, with officials planning a Sunday night return to mark the bill’s passage. Though some Republicans will surely grouse about Biden taking a vacation during a surge in virus cases, the modern president is never completely free from work, tethered by secure telephone lines and other technology with a coterie of top aides and advisers always close by. misinformation ', 'claim: , notes: Joe Biden is a criminal who stole the election', 'claim: , notes: The claim is that Biden is destroying the military.  This is an opinion that cannot be fact checked. Ruling: N/a\n']"
6,get rid of tik tok do y'all know that eighty percent of our medications come from tik tok do you do you know that eighty percent of our inventory like like clothes and food and all type of stuff come from china so please understand that china said that if they take tik tok now they're gonna stop all of their import export coming to america coming to america now if that happens do you know that will shut america down because china gives most of their most of our stuff come from china come from china and i truly believe that that,"claim: , notes: The author asks why Tik Tok removed his post from a source '
  'called worldometer.info alleging global death rates by cause of death '
  'between Jan 1 and March 30th. The chart shows covid-19 at the lowest end, '
  'with 35,016 deaths, and abortions at the highest end at 10,402,251. The '
  'post then shows the Tik Tok content violation page. \n'
  'The page provided by the author uses a fabricated number to show the number '
  'of covid-19 deaths between Jan1 and March30 this year.  does provide '
  'statistics on the number of cases and deaths and in the first five days of '
  'January alone it shows 53,247 covid deaths. \n'
  'Links: ',
  'claim: , notes:  The Tik Tok video mentions medications to use instead of '
  'Tachypirin. Paracetamol is safe to use with covid-19 ( Although the other '
  'drugs that she mentions not harmful to health it is not true that they can '
  'protect against Covid-19 like the endovir spray that she sais protects '
  'against infections ( Silviana De Mari is a no vax doctor suspended from the '
  'medical association. ( ',
  'claim: , notes: Info is correct, China asked to several companies (like '
  'Apple and Tesla) to shut down for a while the electricity in order to limit '
  'greenhouse gaz. The world, and particularly China, is in a critical '
  'situation for the management of ressources and make sure it will be '
  'sustained in the future.\n'",0.0,0.5,0.5,Somewhat Relevant ,"['claim: , notes: The author asks why Tik Tok removed his post from a source called worldometer.info alleging global death rates by cause of death between Jan 1 and March 30th. The chart shows covid-19 at the lowest end, with 35,016 deaths, and abortions at the highest end at 10,402,251. The post then shows the Tik Tok content violation page. \nThe page provided by the author uses a fabricated number to show the number of covid-19 deaths between Jan1 and March30 this year.  does provide statistics on the number of cases and deaths and in the first five days of January alone it shows 53,247 covid deaths. \nLinks: ', 'claim: , notes:  The Tik Tok video mentions medications to use instead of Tachypirin. Paracetamol is safe to use with covid-19 ( Although the other drugs that she mentions not harmful to health it is not true that they can protect against Covid-19 like the endovir spray that she sais protects against infections ( Silviana De Mari is a no vax doctor suspended from the medical association. ( ', 'claim: , notes: Info is correct, China asked to several companies (like Apple and Tesla) to shut down for a while the electricity in order to limit greenhouse gaz. The world, and particularly China, is in a critical situation for the management of ressources and make sure it will be sustained in the future.\n']"
7,she was one of maybe possibly three children around the united states that passed away as a result of what happened with the virus the man made virus made in a lab used as a weapon war in the act of global terrorism with eugenic properties and political undertones yeah so anyway um a lot of people have passed away but anyway that's what that's what happened yeah eagle feather let me ask you a question is it any way possible that we could do videos and i would,"'claim: , notes: This video is making fun of a post that asked why the virus '
  'is targeting unvaccinated people, since that’s obviously what a virus does. '
  'As a result, this video is classified as humor. \n',
  'claim: , notes: This is misinformation. This video shows a man talking '
  'about how the vaccine will harm people and will also lead to people dying. '
  'This video claims that the virus was man made and was created in a lab. And '
  'the vaccine was produced in a way which will harm people through graphene '
  'oxide, however it has been debunked previously that graphene oxide does not '
  'exist in vaccines.  ',
  'claim: , notes: This video claims that we can reach zero COVID-19 cases if '
  'we just “stop testing and stop reporting.” Obviously that is the wrong way '
  'to look at things. Just because testing and reporting stops does not mean '
  'the virus will go away. As a result, this video is likely misinformation. ",0.5,1.0,0.5,Highly Relevant,"['claim: , notes: This video is making fun of a post that asked why the virus is targeting unvaccinated people, since that’s obviously what a virus does. As a result, this video is classified as humor. \n', 'claim: , notes: This is misinformation. This video shows a man talking about how the vaccine will harm people and will also lead to people dying. This video claims that the virus was man made and was created in a lab. And the vaccine was produced in a way which will harm people through graphene oxide, however it has been debunked previously that graphene oxide does not exist in vaccines.  ', 'claim: , notes: This video claims that we can reach zero COVID-19 cases if we just “stop testing and stop reporting.” Obviously that is the wrong way to look at things. Just because testing and reporting stops does not mean the virus will go away. As a result, this video is likely misinformation. ']"
8,"
d pants is a rhino dude don't make me tell you you wanna be accepted huh boom boom what are you talking about man did that's what it is it's a rhino bro like he literally knows that election was stolen but did not want to admit it was he stood up backstab trump in the bag","'claim: , notes: This video puts forward numerous false claims: that the '
  'election was stolen, that the pandemic is fake, that Trump was part of a '
  'conspiracy to take down a cabal of pedophiles (aka QAnon.) This video is '
  'also a call to action, making it dangerous. ',
  'claim: , notes: This video claims that the election was stolen from Donald '
  'Trump as part of a conspiracy. A recent recount in Arizona found that Joe '
  'Biden won the election y a slightly higher margin than initially thought. '
  'There is no evidence of wrongdoing. We mark this as misinformation.  \n',
  'claim: , notes: This video contains parts of several conspiracy theories '
  'having to do with elections and central banking.  It contains a headline '
  'that says that GA confirms the election was deliberately stolen from '
  'Trump.  The election was not stolen from Trump, as many fact-checkers and '
  'others have found:  Misinformation, factually inaccurate, harmful. \n'",1.0,1.0,1.0,Highly Relevant,"['claim: , notes: This video puts forward numerous false claims: that the election was stolen, that the pandemic is fake, that Trump was part of a conspiracy to take down a cabal of pedophiles (aka QAnon.) This video is also a call to action, making it dangerous. ', 'claim: , notes: This video claims that the election was stolen from Donald Trump as part of a conspiracy. A recent recount in Arizona found that Joe Biden won the election y a slightly higher margin than initially thought. There is no evidence of wrongdoing. We mark this as misinformation.  \n', 'claim: , notes: This video contains parts of several conspiracy theories having to do with elections and central banking.  It contains a headline that says that GA confirms the election was deliberately stolen from Trump.  The election was not stolen from Trump, as many fact-checkers and others have found:  Misinformation, factually inaccurate, harmful. \n']"
9,"
fact be even more than ten boosters in some cases by virtue of how some people are getting numerous boosters of their own volition you know what's sad sadly all of this is based solely on
unfounded fear and demonic deception this brings us to the second key ingredient that's mixed in with the main ingredient of the so called vaccine which is that of the 17 sustainable development goals we've talked about this year","claim: ""The true objectives of Agenda 2030 includes population reduction, '
  'privatization of water, transhumanism, one world order, totalitarianism, '
  'etc. "", notes: ""According to a UN website on the issue, Agenda 2030 is a '
  'set of 17 sustainable development goals, including sustainable use of the '
  'oceans and the reduction of inequality. ""',
  'claim: , notes: The data used is accurate, however presenting vaccine '
  'effectiveness as 90% lacks context and is misleading as its effectiveness '
  'wanes over time and boosters are needed, and it differs from variant to '
  'variant and each vaccine has its own specifics. \n',
  'claim: ""some MD suggestd holding off getting a booster shot"", notes: '
  '""accurate, this is because new variants are highly mutated and may not be '
  'effectively targeted by current boosters """,0.5,1.0,0.0,Highly Relevant,"['claim: ""The true objectives of Agenda 2030 includes population reduction, privatization of water, transhumanism, one world order, totalitarianism, etc. "", notes: ""According to a UN website on the issue, Agenda 2030 is a set of 17 sustainable development goals, including sustainable use of the oceans and the reduction of inequality. ""', 'claim: , notes: The data used is accurate, however presenting vaccine effectiveness as 90% lacks context and is misleading as its effectiveness wanes over time and boosters are needed, and it differs from variant to variant and each vaccine has its own specifics. \n', 'claim: ""some MD suggestd holding off getting a booster shot"", notes: ""accurate, this is because new variants are highly mutated and may not be effectively targeted by current boosters ""']"
